src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,94.230.96.23,1,1,4,3,195,132,40,52,48.75,5.07,40,52,44.0,5.66,0.0,1.009,0.469,0.415,0.0,0.266,0.133,0.133,1,0,0,0,0,0,-1.0,94.230.96.23,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,94.26.30.152,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0.0,0.333,0.222,0.157,0.333,0.333,0.333,0.0,1,0,0,0,0,0,0.0,94.26.30.152,AB Regin,:,Regin,7
192.168.158.111,194.20.40.243,1,1,3,0,156,0,52,52,52.0,0.0,0,0,0.0,0.0,1.006,2.008,1.507,0.501,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,194.20.40.243,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,44.158.204.223,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.468,0.308,0.218,0.021,0.455,0.307,0.202,1,0,0,0,0,0,0.0,44.158.204.223,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,94.26.30.150,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0.0,0.331,0.22,0.155,0.329,0.331,0.33,0.001,1,0,0,0,0,0,0.0,94.26.30.150,AB Regin,:,Regin,7
192.168.158.111,67.134.59.219,1,1,6,5,275,225,40,52,45.83,5.84,40,49,45.0,4.1,0.0,1.003,0.352,0.366,0.144,0.577,0.348,0.191,1,0,0,0,0,0,0.0,67.134.59.219,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,8
192.168.158.111,94.26.30.151,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0.0,0.32,0.213,0.15,0.318,0.32,0.319,0.001,1,0,0,0,0,0,0.0,94.26.30.151,AB Regin,:,Regin,7
192.168.158.111,44.158.207.11,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.33,0.216,0.153,0.018,0.32,0.218,0.141,1,0,0,0,0,0,0.0,44.158.207.11,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,44.158.207.13,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.369,0.227,0.162,0.01,0.37,0.23,0.157,1,0,0,0,0,0,0.0,44.158.207.13,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,94.26.30.158,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0.0,0.302,0.201,0.142,0.301,0.302,0.302,0.0,1,0,0,0,0,0,0.0,94.26.30.158,AB Regin,:,Regin,7
