ip,port,round,start_time,end_time,response,country
93.119.38.150,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
84.80.207.218,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
65.242.185.133,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
94.27.203.137,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
4.137.162.213,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
95.246.159.81,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
1.132.177.125,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
214.80.216.121,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
34.126.49.253,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
104.147.235.121,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,successful,China
68.231.222.123,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
158.136.49.226,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
89.59.216.113,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
40.21.105.245,502,3,2023/7/24 10:18:59,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
44.158.192.199,502,3,2023/7/24 10:18:59,2023/7/24 10:19:01,successful,China
53.114.149.177,502,3,2023/7/24 10:18:59,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
140.3.237.190,502,3,2023/7/24 10:18:59,2023/7/24 10:19:01,"6 bytes expected, but 0 received.",China
53.114.149.176,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
93.167.235.255,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,GATEWAY_PATH_UNAVAILABLE: Exception Code = 10,China
95.246.157.62,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,successful,China
44.158.243.47,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
104.147.235.122,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,successful,China
94.27.203.36,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
53.114.69.176,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
1.41.116.151,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,Maximum PDU size is reached. : 16484,China
4.137.161.147,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
212.136.196.37,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
214.80.218.240,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
88.8.134.121,502,3,2023/7/24 10:18:59,2023/7/24 10:19:01,GATEWAY_PATH_UNAVAILABLE: Exception Code = 10,China
70.155.98.113,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
40.28.118.241,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
89.156.99.164,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
44.158.195.50,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,successful,China
34.126.51.161,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
53.114.29.10,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
146.207.109.148,502,3,2023/7/24 10:19:00,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
158.136.49.224,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
93.171.48.147,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,successful,China
53.112.2.246,502,3,2023/7/24 10:19:01,2023/7/24 10:19:01,ILLEGAL_FUNCTION: Exception Code = 1,China
104.166.54.28,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
143.175.40.77,502,3,2023/7/24 10:19:00,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
216.203.34.44,502,3,2023/7/24 10:19:00,2023/7/24 10:19:02,GATEWAY_TARGET_DEVICE_FAILED_TO_RESPOND: Exception Code = 11,China
1.41.89.209,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,successful,China
53.31.130.243,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,Does not matches the function code : 3,China
214.80.218.59,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,successful,China
70.155.98.107,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
94.27.203.37,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
44.158.243.40,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
40.25.50.45,502,3,2023/7/24 10:19:01,2023/7/24 10:19:02,ILLEGAL_FUNCTION: Exception Code = 1,China
