,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,1.0,0.7893574297188756,0.8821361411446176,498.0
7,0.0,0.0,0.0,467.0
8,0.540792760484406,0.755068493150685,0.6301687149825286,730.0
9,1.0,0.04411764705882353,0.08450704225352113,136.0
11,0.946285455407363,0.4618436406067678,0.6207139956630157,857.0
14,0.0,0.0,0.0,137.0
15,0.0,0.0,0.0,0.0
16,0.9270516374778778,0.3523305084745763,0.5100137747406654,472.0
18,0.0,0.0,0.0,99.0
19,1.0,0.018867924528301886,0.037037037037037035,53.0
20,0.2520420488797629,0.34644970414201187,0.2916846152630445,338.0
21,0.0,0.0,0.0,180.0
23,0.3567167731723361,0.2434782608695652,0.2890534265960575,345.0
24,0.20319218521986043,0.2473067915690867,0.2230814582138096,854.0
25,0.2939101337935095,0.7405906593406593,0.42079572815597344,1456.0
26,0.0,0.0,0.0,0.0
27,0.9547326176764279,0.5373848987108655,0.6872173013747312,543.0
28,0.6734265734265735,0.5896174863387978,0.628113601814332,183.0
29,1.0,0.042274052478134115,0.08108509905793246,343.0
30,0.9615791979710625,0.8951612903225807,0.927049975850054,372.0
31,1.0,0.4727272727272728,0.6393319896343219,99.0
33,0.0,0.0,0.0,0.0
36,0.534166848656912,0.9165467625899278,0.674888857019934,139.0
39,0.7,0.05055555555555554,0.09430051813471503,180.0
43,0.0,0.0,0.0,104.0
45,0.0,0.0,0.0,156.0
46,0.0,0.0,0.0,311.0
48,0.1308756192856543,0.10748175182481752,0.11802360548418353,109.6
49,0.5127744040786427,0.4014598540145985,0.4502509418709332,438.4
50,0.3603609106574874,0.20326086956521744,0.25954348412739287,460.0
51,0.9327380952380955,0.652346570397112,0.7673329952867629,277.0
52,1.0,0.12101063829787237,0.21511525807512374,376.0
53,0.0,0.0,0.0,124.0
55,0.2598201072520453,0.9606458123107972,0.40899320067522077,991.0
56,0.15502757238789563,0.2752625437572929,0.19834571861381564,257.1
59,0.3609389360477103,0.6414235705950991,0.4619018913046796,599.9
70,0.0,0.0,0.0,47.0
73,0.0,0.0,0.0,140.0
74,0.0,0.0,0.0,135.0
76,0.16519912443997903,0.7022075055187639,0.26744541418785744,453.0
77,0.0,0.0,0.0,284.0
80,0.0,0.0,0.0,81.0
85,0.0,0.0,0.0,135.0
86,0.0,0.0,0.0,141.0
90,0.0,0.0,0.0,75.0
91,0.0,0.0,0.0,124.0
92,0.0,0.0,0.0,151.0
93,0.08865248226950355,0.007386363636363635,0.013629016179740817,528.0
94,0.0,0.0,0.0,292.0
96,0.0,0.0,0.0,40.5
97,0.0,0.0,0.0,40.5
101,0.0,0.0,0.0,411.0
102,0.18643404718772272,0.6889867841409691,0.2934511051457932,681.0
103,0.30380802830925924,0.07646048109965635,0.12204806520862435,582.0
104,0.0,0.0,0.0,524.0
105,0.0,0.0,0.0,356.0
106,0.0,0.0,0.0,87.0
107,0.24026093613168625,0.1739035087719298,0.20167366887956914,456.0
108,0.0,0.0,0.0,143.0
112,0.07247137260219513,0.04916666666666666,0.05835015120075192,360.0
113,0.0,0.0,0.0,221.0
114,0.0,0.0,0.0,158.0
116,0.0,0.0,0.0,444.0
117,0.0,0.0,0.0,146.0
119,0.040939648586707414,0.012440191387559809,0.019062533095817576,418.0
120,0.1,0.0037037037037037034,0.007142857142857143,135.0
121,0.0,0.0,0.0,165.0
122,0.9521793184145093,0.9509433962264152,0.9509160224260824,159.0
125,0.8673374071610336,0.8639534883720928,0.8653550280243418,258.0
129,0.0,0.0,0.0,0.0
accuracy,0.36014437689969603,0.36014437689969603,0.36014437689969603,0.36014437689969603
macro avg,0.26540015075750367,0.2002569933828316,0.1864053903251648,21056.0
weighted avg,0.36099051714661934,0.36014437689969603,0.2998092615471961,21056.0
