,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.900806622236327,0.49598393574297195,0.63973102515698,498.0
8,0.13437506185367287,0.034903640256959315,0.055412435451443066,467.0
9,0.38616019054028194,0.49575342465753425,0.43413068151019685,730.0
11,0.8529411764705882,0.11029411764705885,0.19531448943213647,136.0
13,0.0,0.0,0.0,0.0
14,0.610800969490472,0.41971995332555423,0.4975438226963824,857.0
15,0.1309523809523809,0.0072992700729927005,0.013795674869500374,137.0
16,0.0,0.0,0.0,0.0
18,0.6906978443551335,0.24618644067796608,0.3629593539147509,472.0
19,0.0,0.0,0.0,99.0
20,0.7142857142857143,0.09433962264150943,0.1666666666666667,53.0
21,0.2627714205509444,0.29881656804733725,0.27963083991821813,338.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,180.0
24,0.1973830403068106,0.15565217391304348,0.17398748443384823,345.0
25,0.21553284856902835,0.19004683840749415,0.20198861322982092,854.0
26,0.2189446701755951,0.6326236263736263,0.3253046355832102,1456.0
27,0.0,0.0,0.0,0.0
28,0.7811548008822706,0.3707182320441989,0.5027840911713938,543.0
29,0.6334144049890427,0.37486338797814206,0.47098325749945136,183.0
30,0.80491738702265,0.09125364431486879,0.163916254224279,343.0
31,0.7600840560092995,0.532258064516129,0.6260879737741493,372.0
33,1.0,0.3030303030303031,0.4651162790697675,99.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
39,0.4824140687450039,0.49640287769784164,0.48928489717060264,139.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.6991935483870968,0.11666666666666667,0.19991341596791837,180.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.06884862653419055,0.015384615384615385,0.02514934642455787,260.0
48,0.0,0.0,0.0,311.0
49,0.0,0.0,0.0,0.0
50,0.6482918796188526,0.39489051094890515,0.49081310235720677,548.0
51,0.3132098706956748,0.2695652173913043,0.2897521943261812,460.0
52,0.5016949152542374,0.32129963898916974,0.39172580723241524,277.0
53,0.4675007215007215,0.1223404255319149,0.1939295521006537,376.0
55,0.0,0.0,0.0,124.0
56,0.24229009245206795,0.7840565085771949,0.37018511964929113,991.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.40793348335378593,0.6635939323220537,0.5052640520533928,857.0
73,0.0,0.0,0.0,47.0
74,0.0,0.0,0.0,140.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,135.0
77,0.12143073724335093,0.3642384105960264,0.18213936222928884,453.0
78,0.0,0.0,0.0,0.0
80,0.376068376068376,0.035211267605633804,0.06439166061611865,284.0
81,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,81.0
86,0.08896103896103898,0.007407407407407406,0.013671049002482302,135.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
90,0.03333333333333333,0.007092198581560282,0.011695906432748537,141.0
91,0.0,0.0,0.0,75.0
92,0.0,0.0,0.0,124.0
93,0.0,0.0,0.0,151.0
94,0.08360995104056548,0.011363636363636364,0.020006330893652273,528.0
95,0.0,0.0,0.0,0.0
96,0.003433667781493869,0.0013698630136986301,0.0019583931564371663,292.0
97,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
101,0.04681818181818182,0.012345679012345678,0.019532827069114675,81.0
102,0.0,0.0,0.0,411.0
103,0.13387200471461944,0.42099853157121875,0.20314611071346866,681.0
104,0.18600145157777398,0.08762886597938145,0.11913142744634372,582.0
105,0.21699466779096896,0.03950381679389313,0.0668335924173719,524.0
106,0.012542703178757489,0.0056179775280898875,0.007759663455876894,356.0
107,0.7000000000000001,0.08045977011494253,0.14432989690721645,87.0
108,0.18344654844450067,0.12719298245614039,0.15022266293108028,456.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,143.0
113,0.13205356703970908,0.13333333333333333,0.13268934740235153,360.0
114,0.19230769230769232,0.02262443438914027,0.040485829959514164,221.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,158.0
117,0.22666666666666666,0.0027027027027027033,0.005341252165305616,444.0
118,0.0,0.0,0.0,0.0
119,0.09734672511941372,0.02054794520547945,0.03392035365764179,146.0
120,0.15578799420044642,0.06220095693779905,0.08890436932977311,418.0
121,0.4583333333333333,0.08148148148148149,0.13836477987421383,135.0
122,0.0,0.0,0.0,165.0
125,0.7684126984126982,0.6477987421383647,0.702892946652345,159.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.4063260340632603,0.6472868217054265,0.49925261584454417,258.0
130,0.0,0.0,0.0,0.0
accuracy,0.27443484042553196,0.27443484042553196,0.27443484042553196,0.27443484042553196
macro avg,0.17522952729494073,0.10717232713492648,0.11034815033189763,21056.0
weighted avg,0.3103774304921131,0.27443484042553196,0.24171193327663248,21056.0
