,precision,recall,f1-score,support
1,0.8557894492644509,0.5037383177570093,0.6341261573845186,428.0
2,0.0,0.0,0.0,0.0
3,0.4858241230177799,0.6138433515482696,0.5423819742489272,1647.0
7,0.9305345816973724,0.3350000000000001,0.4926153147012043,120.0
8,1.0,0.4861538461538462,0.6542314335060448,130.0
9,1.0,0.34117647058823536,0.5087719298245614,85.0
10,0.8703703703703705,0.39166666666666666,0.5402298850574712,120.0
13,0.0,0.0,0.0,0.0
16,0.9122807017543859,0.4297520661157025,0.5842696629213481,121.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,1.0,0.4397887323943662,0.6109065631142434,284.0
25,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.7539550758828064,0.36117578579743886,0.48838161316764755,1718.0
33,0.8535158817086528,0.47959183673469397,0.61411196362603,294.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.4644407701295389,0.9135775469291053,0.6158156008681406,5487.0
37,0.755727572732986,0.19573863636363636,0.3109254580061931,352.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,1.0,0.14615384615384613,0.25471264367816093,52.0
42,0.7142857142857143,0.1677852348993289,0.27173913043478265,149.0
44,0.9408670415381823,0.49122807017543846,0.645459286299635,285.0
46,1.0,0.46875,0.6382978723404255,224.0
49,1.0,0.3475409836065574,0.5152356260484978,122.0
50,0.6213921901528013,0.8672985781990521,0.7240356083086056,422.0
52,0.0,0.0,0.0,0.0
53,0.5801104972375689,0.7000000000000001,0.6344410876132931,150.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.7847619047619048,0.2191780821917808,0.34262182566918326,146.0
61,0.0,0.0,0.0,137.0
62,0.5672473867595818,0.437037037037037,0.4936842105263158,108.0
63,0.8514291962149063,0.1936619718309859,0.3155241670975677,568.0
64,0.7396627488662597,0.5775401069518715,0.6486243091121141,1496.0
65,0.6332934943768365,0.34590417310664606,0.44742059500111714,647.0
66,0.5960264900662252,0.604026845637584,0.5999999999999999,149.0
67,0.6104062447540709,0.17023809523809527,0.2662131886705169,252.0
69,0.0,0.0,0.0,0.0
70,0.41004184100418406,0.6901408450704224,0.5144356955380579,142.0
71,0.7849999999999999,0.08888888888888889,0.15968211920529798,135.0
72,0.5753246753246755,0.20541516245487362,0.30273900709219864,277.0
73,0.0,0.0,0.0,0.0
74,0.4182509505703421,0.29100529100529104,0.34321372854914195,378.0
75,0.0,0.0,0.0,0.0
76,0.7793867924528302,0.2870370370370371,0.41955686651118124,432.0
77,0.0,0.0,0.0,0.0
78,0.8962164799424481,0.6682875264270615,0.765633676479593,473.0
80,0.0,0.0,0.0,0.0
81,0.762466824267631,0.429144385026738,0.5491845792972538,374.0
82,0.8960616306948394,0.5269301470588236,0.6636184752090234,2176.0
83,0.6241666666666666,0.07424242424242425,0.13268983268983264,132.0
84,0.9724360716118708,0.3793548387096774,0.545789855903375,465.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,123.0
accuracy,0.5691009615384615,0.5691009615384615,0.5691009615384615,0.5691009615384615
macro avg,0.48164844964995446,0.259075939461123,0.3100151242144989,20800.0
weighted avg,0.6684888343435971,0.5691009615384615,0.5521436876814135,20800.0
