Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_13,0,1,RF,0.64125,0.443966116960891,0.723550416208642,0.64125,0.604670623747421,0.572095827491001,6.814590930938721,1.144295692443848,0.19008994102478027
sult_13,1,2,RF,0.638365384615385,0.440579569182069,0.723863056715429,0.638365384615385,0.599826619117285,0.56817962982866,6.950517892837524,1.141430854797363,0.19296050071716309
sult_13,2,3,RF,0.633173076923077,0.436361303716187,0.725081006772662,0.633173076923077,0.595433791750197,0.561593556923621,6.838804006576538,1.080182790756226,0.19080638885498047
sult_13,3,4,RF,0.638413461538462,0.443492544142039,0.72381978879835,0.638413461538462,0.601281994012277,0.568121713719371,7.180540800094604,1.098203897476196,0.21762514114379883
sult_13,4,5,RF,0.640288461538462,0.451046613817702,0.725725850224015,0.640288461538462,0.604364388604182,0.571007511238774,7.703306913375854,1.187212467193604,0.20264744758605957
sult_13,5,6,RF,0.641634615384615,0.448111555370229,0.729900144249636,0.641634615384615,0.60289810574921,0.571862843481505,7.246059417724609,1.128809213638306,0.19991374015808105
sult_13,6,7,RF,0.637836538461538,0.438389391563212,0.726214887981056,0.637836538461538,0.600303908155642,0.567044706287574,6.569540739059448,1.065161466598511,0.18871283531188965
sult_13,7,8,RF,0.636394230769231,0.438319671612325,0.724832068141629,0.636394230769231,0.598401300773585,0.565500692447503,6.514102220535278,1.075109958648682,0.1883401870727539
sult_13,8,9,RF,0.636730769230769,0.443689087585357,0.725663937218703,0.636730769230769,0.600155331469323,0.565884003958809,6.659431934356689,1.091796159744263,0.19139313697814941
sult_13,9,10,RF,0.639759615384615,0.445873748971034,0.721924088047673,0.639759615384615,0.601986289955464,0.569867327149283,6.738912105560303,1.104947805404663,0.19345855712890625
