src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,121.58.178.117,1,1,4,3,183,230,40,52,45.75,5.76,40,146,76.67,49.05,0.018,0.049,0.035,0.013,0.039,0.067,0.053,0.014,1,0,0,0,0,0,0,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,194.105.77.90,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.38,0.228,0.164,0.001,0.304,0.195,0.138,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.361,0.241,0.17,0.36,0.361,0.361,0.001,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,44.158.192.199,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.72,0.437,0.313,0.064,0.59,0.363,0.221,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,1.41.99.23,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.183,1.183,1.183,0,0,0,0,0,0,0,0,0,0,0,-1,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,94.27.202.61,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.37,0.247,0.174,0.37,0.37,0.37,0,1,0,0,0,0,0,0,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,193.163.82.2,1,1,5,4,223,181,40,52,44.6,5.64,40,52,45.25,5.36,0,0.902,0.49,0.322,0.018,0.542,0.353,0.238,0,0,0,0,0,0,-1,193.163.82.2,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.454,0.259,0.191,0.001,0.454,0.257,0.19,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,4.137.162.213,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.363,0.242,0.171,0.363,0.363,0.363,0,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,94.27.203.137,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.369,0.246,0.174,0.369,0.37,0.37,0,1,0,0,0,0,0,0,94.27.203.137,AB Regin,:,Regin,7
