src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.335,0.223,0.157,0.333,0.334,0.334,0,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,121.58.178.117,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.001,1.001,1.001,0,0,0,0,0,0,0,0,0,0,0,-1,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,194.105.77.90,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.284,0.184,0.13,0.002,0.269,0.179,0.125,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,44.158.192.199,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.964,0.532,0.4,0,1.034,0.666,0.472,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,94.27.202.61,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.313,0.208,0.147,0.311,0.313,0.312,0.001,1,0,0,0,0,0,0,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,1.41.99.23,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.342,0.254,0.147,0,0.342,0.201,0.164,1,0,0,0,0,0,0,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.367,0.217,0.157,0.001,0.367,0.211,0.155,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,94.27.203.137,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.325,0.217,0.153,0.324,0.325,0.324,0,1,0,0,0,0,0,0,94.27.203.137,AB Regin,:,Regin,7
192.168.158.111,4.137.162.213,1,1,5,3,223,148,40,52,44.6,5.64,40,64,49.33,10.5,0,0.771,0.35,0.275,0.313,1.085,0.699,0.386,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,214.80.216.121,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.318,0.212,0.149,0.317,0.318,0.318,0,1,0,0,0,0,0,0,214.80.216.121,AB Regin,:,Regin,7
