src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,194.105.77.90,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.27,0.179,0.127,0,0.271,0.178,0.126,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.31,0.206,0.146,0.309,0.309,0.309,0,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,1.41.99.23,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.001,2.006,1.503,0.502,0,0,0,0,0,0,0,0,0,0,-1,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,94.27.202.61,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0.001,0.321,0.215,0.151,0.32,0.322,0.321,0.001,1,0,0,0,0,0,0,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,193.163.82.2,1,1,5,4,223,181,40,52,44.6,5.64,40,52,45.25,5.36,0,0.862,0.566,0.333,0.174,0.688,0.516,0.242,0,0,0,0,0,0,-1,193.163.82.2,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,121.58.178.117,1,1,4,3,183,230,40,52,45.75,5.76,40,146,76.67,49.05,0.021,0.061,0.04,0.017,0.04,0.08,0.06,0.02,1,0,0,0,0,0,0,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,44.158.192.199,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.554,0.347,0.247,0.065,0.554,0.344,0.205,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.351,0.205,0.149,0,0.351,0.202,0.148,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,4.137.162.213,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.302,0.201,0.142,0.301,0.302,0.301,0,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,94.27.203.137,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.011,1.011,1.011,0,0,0,0,0,0,0,0,0,0,0,-1,94.27.203.137,AB Regin,:,Regin,7
192.168.158.111,214.80.216.121,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.116,1.116,1.116,0,0,0,0,0,0,0,0,0,0,0,-1,214.80.216.121,AB Regin,:,Regin,7
192.168.158.111,95.246.159.81,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.18,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0,-1,95.246.159.81,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,104.147.235.121,1,1,5,4,223,321,40,52,44.6,5.64,40,193,80.25,65.18,0,0.251,0.185,0.107,0.01,0.252,0.167,0.111,1,0,0,0,0,0,0,104.147.235.121,Schneider Electric,HMI:HMIS5T,Schneider,10
192.168.158.111,44.158.195.50,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.321,0.213,0.15,0.001,0.321,0.206,0.146,1,0,0,0,0,0,0,44.158.195.50,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,94.68.23.17,1,1,4,4,208,160,52,52,52,0,40,40,40,0,0.794,0.866,0.82,0.033,0.791,0.87,0.82,0.035,0,0,0,0,0,0,-1,94.68.23.17,Schneider Electric,Power Meter:PM5561,Schneider,10
192.168.158.111,104.147.235.122,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.243,0.162,0.114,0,0.243,0.162,0.114,1,0,0,0,0,0,0,104.147.235.122,Schneider Electric,PLC:TM221CE24R,Schneider,10
192.168.158.111,193.138.162.144,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.258,0.191,0.11,0.001,0.256,0.154,0.124,0,0,0,0,0,0,-1,193.138.162.144,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,44.158.205.238,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.633,0.386,0.276,0.02,0.633,0.387,0.264,1,0,0,0,0,0,0,44.158.205.238,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,93.171.48.147,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0,0.271,0.201,0.116,0,0.271,0.135,0.133,1,0,0,0,0,0,0,93.171.48.147,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,93.171.48.148,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0,0.27,0.201,0.116,0,0.267,0.134,0.133,1,0,0,0,0,0,0,93.171.48.148,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,93.171.48.151,1,1,5,6,223,299,40,52,44.6,5.64,40,95,49.83,20.25,0,0.255,0.191,0.11,0,0.252,0.102,0.122,1,0,0,0,0,0,0.003505,93.171.48.151,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,88.186.52.149,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.006,1.006,1.006,0,0,0,0,0,0,0,0,0,0,0,-1,88.186.52.149,AB Regin,:,Regin,7
192.168.158.111,68.98.123.225,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.005,2.005,1.505,0.5,0,0,0,0,0,0,0,0,0,0,-1,68.98.123.225,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,193.136.71.34,1,1,5,6,223,296,40,52,44.6,5.64,40,96,49.33,20.87,0,0.304,0.223,0.129,0,0.304,0.176,0.129,1,0,0,0,0,0,0,193.136.71.34,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,82.3.220.229,1,1,5,4,223,492,40,52,44.6,5.64,40,368,123,141.46,0,0.333,0.243,0.14,0.001,0.333,0.217,0.153,1,0,0,0,0,0,0,82.3.220.229,ABB Stotz Kontakt,:,ABB,0
192.168.158.111,158.133.69.209,1,1,5,4,223,173,40,52,44.6,5.64,40,49,43.25,3.7,0,1.019,0.417,0.372,0.322,0.68,0.447,0.165,1,0,0,0,0,0,0.679918,158.133.69.209,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,8
192.168.158.111,95.246.157.62,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0.001,0.246,0.164,0.115,0,0.244,0.122,0.12,1,0,0,0,0,0,0.000398,95.246.157.62,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,95.246.128.152,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.298,0.205,0.119,0,0.261,0.154,0.122,1,0,0,0,0,0,0,95.246.128.152,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,82.217.214.37,1,1,5,6,223,299,40,52,44.6,5.64,40,95,49.83,20.25,0,0.326,0.243,0.14,0.001,0.326,0.194,0.157,1,0,0,0,0,0,0,82.217.214.37,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,214.80.218.59,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.015,1.015,1.015,0,0,0,0,0,0,0,0,0,0,0,-1,214.80.218.59,AB Regin,:,Regin,7
192.168.158.111,4.56.123.14,1,1,4,5,183,217,40,52,45.75,5.76,40,49,43.4,4.18,0,0.361,0.232,0.165,0.002,0.342,0.175,0.165,1,0,0,0,0,0,0.018946,4.56.123.14,Rockwell Automation/Allen-Bradley,PLC:141,Rockwell,8
