src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,194.105.77.90,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.282,0.184,0.13,0,0.272,0.18,0.128,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.324,0.215,0.152,0.315,0.324,0.319,0.005,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,121.58.178.117,1,1,4,3,183,230,40,52,45.75,5.76,40,146,76.67,49.05,0.034,0.074,0.053,0.016,0.046,0.107,0.076,0.031,1,0,0,0,0,0,0,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,1.41.99.23,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.019,1.019,1.019,0,0,0,0,0,0,0,0,0,0,0,-1,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,94.27.202.61,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.099,1.099,1.099,0,0,0,0,0,0,0,0,0,0,0,-1,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,193.163.82.2,1,1,5,4,223,181,40,52,44.6,5.64,40,52,45.25,5.36,0,0.756,0.414,0.27,0.021,0.439,0.3,0.197,0,0,0,0,0,0,-1,193.163.82.2,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,44.158.192.199,1,1,6,6,274,348,40,52,45.67,5.68,40,92,58,24.08,0,1.047,0.508,0.375,0,1.252,0.489,0.476,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.399,0.224,0.166,0,0.399,0.224,0.166,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,4.137.162.213,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.325,0.217,0.153,0.324,0.325,0.325,0,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,214.80.216.121,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.314,0.21,0.148,0.314,0.314,0.314,0,1,0,0,0,0,0,0,214.80.216.121,AB Regin,:,Regin,7
192.168.158.111,94.68.23.17,1,1,5,4,223,222,40,52,44.6,5.64,40,90,55.5,20.51,0,0.93,0.395,0.336,0,0.335,0.216,0.153,1,0,0,0,0,0,0,94.68.23.17,Schneider Electric,Power Meter:PM5561,Schneider,10
192.168.158.111,95.246.159.81,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.015,1.015,1.015,0,0,0,0,0,0,0,0,0,0,0,-1,95.246.159.81,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,193.138.162.144,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.273,0.203,0.117,0,0.273,0.163,0.132,0,0,0,0,0,0,-1,193.138.162.144,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,44.158.195.50,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.321,0.211,0.149,0,0.321,0.21,0.148,1,0,0,0,0,0,0,44.158.195.50,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,93.171.48.147,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0,0.272,0.202,0.117,0,0.271,0.135,0.134,1,0,0,0,0,0,0,93.171.48.147,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,214.80.218.59,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,-1,214.80.218.59,AB Regin,:,Regin,7
192.168.158.111,44.158.205.238,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.52,0.342,0.242,0,0.521,0.34,0.24,1,0,0,0,0,0,0,44.158.205.238,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,93.171.48.148,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0,0.27,0.202,0.116,0,0.27,0.135,0.133,1,0,0,0,0,0,0,93.171.48.148,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,88.186.52.149,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.006,1.006,1.006,0,0,0,0,0,0,0,0,0,0,0,-1,88.186.52.149,AB Regin,:,Regin,7
192.168.158.111,93.171.48.151,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0,0.271,0.202,0.117,0,0.271,0.135,0.133,1,0,0,0,0,0,0,93.171.48.151,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,94.27.203.137,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.338,0.225,0.159,0.336,0.337,0.337,0,1,0,0,0,0,0,0,94.27.203.137,AB Regin,:,Regin,7
192.168.158.111,68.98.123.225,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.004,1.004,1.004,0,0,0,0,0,0,0,0,0,0,0,-1,68.98.123.225,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,95.246.157.62,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0,0.249,0.165,0.117,0.001,0.246,0.123,0.122,1,0,0,0,0,0,0.000753,95.246.157.62,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,95.246.128.152,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.308,0.212,0.123,0.001,0.275,0.16,0.128,1,0,0,0,0,0,0,95.246.128.152,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,4.56.123.14,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.432,0.284,0.201,0,0.436,0.286,0.202,1,0,0,0,0,0,0,4.56.123.14,Rockwell Automation/Allen-Bradley,PLC:141,Rockwell,8
192.168.158.111,214.80.189.23,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.331,0.217,0.153,0.322,0.33,0.326,0.004,1,0,0,0,0,0,0,214.80.189.23,AB Regin,:,Regin,7
192.168.158.111,95.97.0.68,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.002,2.003,1.502,0.5,0,0,0,0,0,0,0,0,0,0,-1,95.97.0.68,ABB Stotz Kontakt,:,ABB,0
192.168.158.111,158.136.209.55,1,1,5,4,223,492,40,52,44.6,5.64,40,368,123,141.46,0.038,0.313,0.238,0.115,0,0.338,0.213,0.151,1,0,0,0,0,0,0,158.136.209.55,ABB Stotz Kontakt,:,ABB,0
192.168.158.111,158.133.69.209,1,1,5,4,223,173,40,52,44.6,5.64,40,49,43.25,3.7,0.001,1.014,0.413,0.37,0.316,0.684,0.444,0.17,1,0,0,0,0,0,0.684426,158.133.69.209,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,8
192.168.158.111,193.136.71.34,1,1,5,6,223,296,40,52,44.6,5.64,40,96,49.33,20.87,0,0.316,0.223,0.129,0.001,0.316,0.175,0.136,1,0,0,0,0,0,0,193.136.71.34,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,104.147.235.121,1,1,5,4,223,321,40,52,44.6,5.64,40,193,80.25,65.18,0,0.242,0.179,0.103,0.008,0.239,0.16,0.108,1,0,0,0,0,0,0,104.147.235.121,Schneider Electric,HMI:HMIS5T,Schneider,10
192.168.158.111,82.3.220.229,1,1,5,4,223,492,40,52,44.6,5.64,40,368,123,141.46,0,0.393,0.289,0.167,0.001,0.393,0.258,0.182,1,0,0,0,0,0,0,82.3.220.229,ABB Stotz Kontakt,:,ABB,0
192.168.158.111,16.229.45.130,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.003,2.007,1.505,0.502,0,0,0,0,0,0,0,0,0,0,-1,16.229.45.130,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,158.136.218.67,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.013,1.013,1.013,0,0,0,0,0,0,0,0,0,0,0,-1,158.136.218.67,Schneider Electric,PLC:TM221CE16T,Schneider,10
192.168.158.111,104.147.235.122,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.24,0.16,0.113,0,0.239,0.159,0.112,1,0,0,0,0,0,0,104.147.235.122,Schneider Electric,PLC:TM221CE24R,Schneider,10
192.168.158.111,140.25.161.239,1,1,5,3,235,132,40,52,47,5.73,40,52,44,5.66,0,5.014,1.572,2.021,0.315,5.014,2.664,2.35,1,0,0,0,0,0,-1,140.25.161.239,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,214.81.82.21,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.315,0.21,0.148,0.315,0.315,0.315,0,1,0,0,0,0,0,0,214.81.82.21,AB Regin,:,Regin,7
192.168.158.111,82.217.214.37,1,1,5,7,223,339,40,52,44.6,5.64,40,95,48.43,19.06,0,0.402,0.299,0.173,0,0.4,0.199,0.198,1,0,0,0,0,0,0.002445,82.217.214.37,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,191.192.69.146,1,1,3,0,156,0,52,52,52,0,0,0,0,0,0.999,2.011,1.505,0.506,0,0,0,0,0,0,0,0,0,0,-1,191.192.69.146,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,44.158.205.57,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.012,1.012,1.012,0,0,0,0,0,0,0,0,0,0,0,-1,44.158.205.57,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,95.246.190.167,1,1,5,4,223,224,40,52,44.6,5.64,40,96,56,23.32,0,0.293,0.21,0.121,0.001,0.279,0.182,0.128,1,0,0,0,0,0,0,95.246.190.167,Schneider Electric SAS,Communication Module:TSXETY4103,Schneider,10
192.168.158.111,214.81.82.23,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.31,0.207,0.146,0.31,0.311,0.31,0,1,0,0,0,0,0,0,214.81.82.23,AB Regin,:,Regin,7
192.168.158.111,193.140.188.34,2,2,10,12,446,600,40,52,44.6,5.64,40,96,50,20.62,0,15.314,1.877,4.752,0,15.335,1.534,4.366,1,0,0,0,0,0,0,193.140.188.34,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,1.41.89.209,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.009,1.009,1.009,0,0,0,0,0,0,0,0,0,0,0,-1,1.41.89.209,Schneider Electric,PLC:TM221CE24R,Schneider,10
192.168.158.111,95.246.172.218,1,1,5,4,223,290,40,52,44.6,5.64,40,162,72.5,51.78,0,0.267,0.198,0.115,0.005,0.267,0.177,0.122,1,0,0,0,0,0,0,95.246.172.218,Schneider Electric,HMI:HMIS5T,Schneider,10
192.168.158.111,214.81.82.30,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.327,0.218,0.154,0.326,0.327,0.327,0,1,0,0,0,0,0,0,214.81.82.30,AB Regin,:,Regin,7
192.168.158.111,193.140.20.138,2,2,4,0,208,0,52,52,52,0,0,0,0,0,1.002,17.327,6.445,7.695,0,0,0,0,0,0,0,0,0,0,-1,193.140.20.138,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,214.82.47.157,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.313,0.208,0.147,0.312,0.313,0.312,0,1,0,0,0,0,0,0,214.82.47.157,AB Regin,:,Regin,7
192.168.158.111,1.21.155.226,1,1,5,5,235,256,40,52,47,5.73,40,92,51.2,20.46,0,1.012,0.539,0.361,0.034,0.562,0.303,0.246,1,0,0,0,0,0,0.082967,1.21.155.226,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,214.87.80.48,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.33,0.22,0.155,0.329,0.33,0.33,0,1,0,0,0,0,0,0,214.87.80.48,AB Regin,:,Regin,7
