src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,1.41.99.23,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.088,1.088,1.088,0,0,0,0,0,0,0,0,0,0,0,-1,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,94.27.202.61,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.085,1.085,1.085,0,0,0,0,0,0,0,0,0,0,0,-1,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,193.163.82.2,1,1,7,5,327,233,40,52,46.71,5.82,40,52,46.6,5.5,0,1.097,0.376,0.363,0.019,0.499,0.255,0.194,0,0,0,0,0,0,-1,193.163.82.2,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,194.105.77.90,1,1,4,4,183,177,40,52,45.75,5.76,40,49,44.25,4.26,0,0.382,0.254,0.18,0,0.381,0.252,0.178,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,121.58.178.117,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.046,1.046,1.046,0,0,0,0,0,0,0,0,0,0,0,-1,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.396,0.264,0.186,0.395,0.396,0.396,0,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,44.158.192.199,1,1,5,4,234,216,40,52,46.8,5.56,40,92,54,22,0,1.089,0.415,0.449,0,1.105,0.66,0.476,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.41,0.241,0.175,0.001,0.41,0.238,0.173,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,94.68.23.17,1,1,5,4,223,222,40,52,44.6,5.64,40,90,55.5,20.51,0,0.424,0.308,0.178,0,0.424,0.277,0.196,1,0,0,0,0,0,0,94.68.23.17,Schneider Electric,Power Meter:PM5561,Schneider,10
192.168.158.111,4.137.162.213,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.35,0.233,0.165,0.348,0.349,0.348,0,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
