src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,94.27.202.61,1,1,2,0,104,0,52,52,52,0,0,0,0,0,1.004,1.004,1.004,0,0,0,0,0,0,0,0,0,0,0,-1,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,1.41.99.23,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.002,2.012,1.507,0.505,0,0,0,0,0,0,0,0,0,0,-1,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,4.137.162.209,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.308,0.205,0.145,0.307,0.307,0.307,0,1,0,0,0,0,0,0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,121.58.178.117,1,1,4,3,183,230,40,52,45.75,5.76,40,146,76.67,49.05,0.026,0.066,0.044,0.017,0.039,0.092,0.065,0.027,1,0,0,0,0,0,0,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,194.105.77.90,1,1,5,4,223,177,40,52,44.6,5.64,40,49,44.25,4.26,0,0.295,0.215,0.124,0.001,0.295,0.194,0.136,1,0,0,0,0,0,0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,44.158.192.199,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54,22,0,0.639,0.365,0.269,0.38,0.639,0.515,0.106,1,0,0,0,0,0,0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,93.119.38.150,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67,44.49,0,0.377,0.213,0.158,0.018,0.377,0.217,0.149,1,0,0,0,0,0,0,93.119.38.150,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,4.137.162.213,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.308,0.205,0.145,0.307,0.308,0.308,0,1,0,0,0,0,0,0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,214.80.216.121,1,1,4,3,183,148,40,52,45.75,5.76,40,64,49.33,10.5,0,0.294,0.196,0.138,0.294,0.294,0.294,0,1,0,0,0,0,0,0,214.80.216.121,AB Regin,:,Regin,7
192.168.158.111,95.246.159.81,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50,20.62,0,0.293,0.204,0.119,0,0.266,0.156,0.125,1,0,0,0,0,0,0,95.246.159.81,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,104.147.235.121,1,1,5,4,223,321,40,52,44.6,5.64,40,193,80.25,65.18,0,0.245,0.18,0.104,0.004,0.245,0.161,0.112,1,0,0,0,0,0,0,104.147.235.121,Schneider Electric,HMI:HMIS5T,Schneider,10
