,precision,recall,f1-score,support
1,1.0,0.8790697674418604,0.9356435643564358,215.0
3,0.9984378739217761,0.8626180836707151,0.9255550914496498,741.0
4,0.9896943033663463,0.9999578094675556,0.9947995715718208,23702.0
5,1.0,0.6675977653631284,0.8006700167504188,358.0
accuracy,0.9900943396226414,0.9900943396226414,0.9900943396226414,0.9900943396226414
macro avg,0.9970330443220303,0.8523108564858151,0.9141670610320812,25016.0
weighted avg,0.9901893525329861,0.9900943396226414,0.9894619044008941,25016.0
