,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
1,0.9047619047619049,0.6186046511627907,0.7348066298342542,215.0
2,0.0,0.0,0.0,0.0
3,0.9648760330578512,0.630229419703104,0.7624489795918368,741.0
4,0.9790855283076875,0.9980170449751073,0.9884606474332539,23702.0
5,0.9365853658536587,0.5363128491620113,0.6820603907637655,358.0
accuracy,0.9772545570834665,0.9772545570834665,0.9772545570834665,0.9772545570834665
macro avg,0.6308848053301837,0.4638606608338355,0.5279627746038517,25016.0
weighted avg,0.9774176408276342,0.9772545570834665,0.9752010715001731,25016.0
