Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_13,0,1,RF,0.990326191237608,0.854267671600525,0.990416884372094,0.990326191237608,0.989710218865377,0.895120358516477,4.694233179092407,0.375689268112183,0.23994803428649902
sult_13,1,2,RF,0.990326191237608,0.854267671600525,0.990416884372094,0.990326191237608,0.989710218865377,0.895120358516477,4.688860177993774,0.420617341995239,0.23654961585998535
sult_13,2,3,RF,0.990326191237608,0.854267671600525,0.990416884372094,0.990326191237608,0.989710218865377,0.895120358516477,4.934947729110718,0.413779497146606,0.23867344856262207
sult_13,3,4,RF,0.989846498241126,0.850219088604573,0.989946147732915,0.989846498241126,0.989196262563616,0.889391734999889,4.286170959472656,0.36806845664978,0.22488760948181152
sult_13,4,5,RF,0.990246242404861,0.853592907767866,0.990338397805542,0.990246242404861,0.989624884018465,0.894169388891602,4.161901712417602,0.36748743057251,0.22765064239501953
sult_13,5,6,RF,0.989846498241126,0.850219088604573,0.989946147732915,0.989846498241126,0.989196262563616,0.889391734999889,4.214471578598022,0.363380908966064,0.22359156608581543
sult_13,6,7,RF,0.989846498241126,0.850219088604573,0.989946147732915,0.989846498241126,0.989196262563616,0.889391734999889,4.318668365478516,0.373914003372192,0.2258007526397705
sult_13,7,8,RF,0.989926447073873,0.850893852437232,0.990024573418599,0.989926447073873,0.989282248419061,0.89035031869125,4.319157600402832,0.364733934402466,0.22752141952514648
sult_13,8,9,RF,0.990326191237608,0.854267671600525,0.990416884372094,0.990326191237608,0.989710218865377,0.895120358516477,4.118971347808838,0.365466117858887,0.22564125061035156
sult_13,9,10,RF,0.989926447073873,0.850893852437232,0.990024573418599,0.989926447073873,0.989282248419061,0.89035031869125,4.290732860565186,0.366174459457397,0.22690129280090332
